H1,H2,H3,H4,H5,target
0.267,1.344,0.978,0.49200000000000005,-0.16,1
0.33399999999999996,1.3119999999999998,0.99,0.46399999999999997,-0.201,1
0.419,1.3030000000000002,0.851,0.46299999999999997,-0.14800000000000002,1
0.40399999999999997,1.284,0.8370000000000001,0.44799999999999995,-0.135,1
0.392,1.443,1.052,0.423,0.0,1
0.41200000000000003,1.2830000000000001,0.82,0.425,-0.13699999999999998,1
0.21100000000000002,1.58,1.101,0.498,0.0,1
0.33299999999999996,1.2919999999999998,1.023,0.455,-0.19899999999999998,1
0.35100000000000003,1.331,1.073,0.488,-0.213,1
0.21600000000000003,1.5930000000000002,1.12,0.516,0.0,1
0.179,1.489,1.166,0.601,0.0,1
0.27899999999999997,1.3730000000000002,1.137,0.45299999999999996,0.0,1
0.204,1.574,1.157,0.62,0.0,1
0.18600000000000003,1.411,1.129,0.649,0.0,1
0.21600000000000003,1.59,1.1320000000000001,0.486,-0.201,1
0.741,1.431,0.9790000000000001,0.473,0.233,1
0.28800000000000003,1.5959999999999999,0.96,0.413,-0.174,1
0.265,1.443,0.83,0.381,-0.14,1
0.132,1.589,1.012,0.685,0.0,1
0.386,1.4969999999999999,1.213,0.493,0.254,1
0.213,1.4480000000000002,0.992,0.33799999999999997,0.0,1
0.249,1.315,1.175,0.5720000000000001,0.0,1
0.39799999999999996,1.547,1.228,0.466,-0.268,1
0.18100000000000002,1.3159999999999998,0.821,0.6759999999999999,0.0,1
0.152,1.2819999999999998,0.7959999999999999,0.335,0.0,1
0.303,1.696,1.0270000000000001,0.449,-0.24100000000000002,1
0.259,1.683,1.178,0.469,0.0,1
0.242,1.661,1.102,0.4,-0.16399999999999998,1
0.159,1.307,0.799,0.332,0.0,1
0.38299999999999995,1.2670000000000001,1.145,0.575,-0.212,1
0.156,1.334,1.158,0.556,-0.214,1
0.28600000000000003,1.386,1.226,0.46799999999999997,0.27699999999999997,1
0.17,1.3559999999999999,0.82,0.33299999999999996,0.0,1
0.16899999999999998,1.4409999999999998,1.2670000000000001,0.545,-0.214,1
0.165,1.307,1.1640000000000001,0.551,-0.21100000000000002,1
0.195,1.537,1.311,0.581,0.0,1
0.27899999999999997,1.735,1.006,0.44299999999999995,-0.18899999999999997,1
0.289,1.159,0.777,0.379,0.33299999999999996,1
0.21,1.452,0.79,0.63,0.0,1
0.303,1.426,0.978,0.327,0.157,1
0.7440000000000001,1.505,0.909,0.43700000000000006,0.231,1
0.231,1.5659999999999998,1.314,0.474,-0.253,1
0.27699999999999997,1.607,1.06,0.436,0.32,1
0.278,1.8,1.051,0.46799999999999997,-0.191,1
0.228,1.38,1.297,0.535,-0.21899999999999997,1
0.205,1.433,0.976,0.327,0.198,1
0.37799999999999995,1.673,0.8240000000000001,0.405,-0.17300000000000001,1
0.374,1.254,1.206,0.5760000000000001,-0.215,1
0.316,1.224,1.043,0.494,-0.539,1
0.231,0.987,0.5379999999999999,0.43700000000000006,0.0,1
0.41200000000000003,1.815,1.17,0.509,0.0,1
0.355,1.6840000000000002,1.2790000000000001,0.47700000000000004,-0.231,1
0.327,1.291,1.1520000000000001,0.541,-0.517,1
0.27899999999999997,1.643,0.865,0.331,-0.11800000000000001,1
0.775,1.66,0.9620000000000001,0.452,0.24600000000000002,1
0.27,1.806,1.146,0.434,-0.177,1
0.5,1.7619999999999998,1.2229999999999999,0.45399999999999996,0.18,1
0.40299999999999997,1.8030000000000002,1.168,0.516,-0.22899999999999998,1
0.315,1.5030000000000001,1.331,0.369,-0.16399999999999998,1
0.366,1.7269999999999999,0.828,0.386,-0.20199999999999999,1
0.205,1.3969999999999998,1.3630000000000002,0.508,-0.177,1
0.29600000000000004,1.804,0.9620000000000001,0.41600000000000004,-0.172,1
0.5,1.7619999999999998,1.2229999999999999,0.45399999999999996,-0.18,1
0.413,1.824,1.1,0.434,-0.262,1
1.071,0.938,0.769,0.34600000000000003,0.22,1
0.991,1.037,0.8170000000000001,0.308,0.247,1
0.34,1.238,1.114,0.45,-0.544,1
0.308,1.214,0.546,0.307,0.0,1
0.358,1.8119999999999998,1.189,0.441,-0.18899999999999997,1
0.494,1.7630000000000001,1.245,0.45399999999999996,0.188,1
0.23600000000000002,1.7409999999999999,0.8220000000000001,0.382,-0.175,1
0.34600000000000003,1.786,1.235,0.45899999999999996,-0.209,1
0.996,1.1740000000000002,0.778,0.324,0.223,1
0.494,1.7630000000000001,1.245,0.45399999999999996,-0.188,1
0.38299999999999995,1.272,1.29,0.585,-0.22699999999999998,1
0.49200000000000005,1.7819999999999998,1.24,0.44799999999999995,0.192,1
0.368,1.6980000000000002,0.81,0.37200000000000005,0.0,1
0.58,1.755,1.087,0.33399999999999996,0.0,1
0.49200000000000005,1.7819999999999998,1.24,0.44799999999999995,-0.192,1
0.233,1.546,1.399,0.716,-0.42200000000000004,1
0.265,1.666,0.753,0.37,0.0,1
0.382,1.7519999999999998,0.792,0.371,-0.183,1
0.401,1.784,1.217,0.45799999999999996,-0.284,1
1.12,1.69,1.087,0.569,0.385,1
0.201,1.369,1.3869999999999998,0.507,-0.177,1
0.401,1.8130000000000002,1.245,0.505,-0.23399999999999999,1
0.221,1.265,1.291,0.504,-0.19699999999999998,1
0.225,1.555,1.4280000000000002,0.732,-0.22,1
1.107,1.683,1.012,0.521,0.316,1
0.5670000000000001,1.824,1.135,0.34700000000000003,0.0,1
0.267,1.9480000000000002,1.0190000000000001,0.563,0.0,1
0.265,1.442,0.6809999999999999,0.306,0.115,1
0.201,1.5519999999999998,0.8290000000000001,0.32299999999999995,0.183,1
0.218,1.486,0.742,0.6609999999999999,-0.22399999999999998,1
0.256,1.733,1.359,0.77,0.0,1
0.23600000000000002,0.995,0.49200000000000005,0.489,0.525,1
0.414,1.584,1.4,0.5710000000000001,-0.45799999999999996,1
0.151,1.0070000000000001,1.008,0.304,0.0,1
0.268,1.599,0.7120000000000001,0.28,-0.11,1
0.17600000000000002,1.631,0.679,0.345,0.0,1
0.41,1.8030000000000002,1.288,0.483,-0.278,1
0.41100000000000003,1.587,1.4080000000000001,0.585,-0.479,1
0.332,1.139,1.262,0.825,0.0,1
0.165,1.198,1.256,0.469,-0.198,1
0.255,1.4280000000000002,1.474,0.525,-0.203,1
0.325,1.077,1.168,0.769,-0.20600000000000002,1
0.46,1.935,1.194,0.607,-0.212,1
0.324,1.276,0.55,0.37799999999999995,0.385,1
0.327,1.581,0.726,0.27399999999999997,0.0,1
0.55,1.74,0.8540000000000001,0.373,0.19,1
0.266,1.864,0.8240000000000001,0.401,-0.174,1
0.35,1.14,1.252,0.763,-0.21100000000000002,1
0.375,1.797,0.708,0.401,0.0,1
0.5670000000000001,1.886,1.179,0.363,-0.154,1
0.251,1.067,0.44299999999999995,0.47200000000000003,0.444,1
0.43700000000000006,1.932,1.163,0.588,-0.29,1
0.192,1.598,0.768,0.319,0.17,1
0.249,1.876,0.914,0.379,0.0,1
0.373,1.511,0.535,0.32299999999999995,0.0,1
0.268,2.019,1.212,0.629,0.0,1
0.257,1.734,0.932,0.7340000000000001,-0.29100000000000004,1
0.43700000000000006,1.435,0.502,0.303,0.0,1
0.272,1.776,1.4169999999999998,0.504,-0.24100000000000002,1
0.265,1.6780000000000002,0.8059999999999999,0.324,0.158,1
0.16,1.252,1.345,0.436,-0.179,1
0.33399999999999996,1.78,1.431,0.65,-0.23199999999999998,1
0.66,1.695,0.99,0.264,0.15,1
-0.165,1.8090000000000002,1.261,0.59,0.366,1
0.384,1.835,0.7509999999999999,0.33399999999999996,-0.161,1
0.282,1.739,0.825,0.32899999999999996,0.161,1
0.856,1.875,1.186,0.366,0.0,1
0.19899999999999998,1.02,0.958,1.156,0.0,1
0.265,2.037,0.992,0.625,0.0,1
0.198,1.65,0.7070000000000001,0.33299999999999996,0.179,1
0.273,1.758,0.8170000000000001,0.332,0.162,1
0.45299999999999996,1.694,1.49,0.667,0.0,1
0.247,1.554,0.687,0.275,0.163,1
0.281,1.699,0.6629999999999999,0.266,-0.115,1
0.24,1.01,0.396,0.449,0.561,1
0.377,1.73,0.7290000000000001,0.345,0.18899999999999997,1
0.331,1.72,0.6,0.3,-0.11900000000000001,1
0.204,1.7719999999999998,0.672,0.336,0.0,1
0.08900000000000001,0.706,0.6629999999999999,0.406,0.447,1
0.24,1.547,0.664,0.275,0.172,1
0.33399999999999996,1.781,0.698,0.284,-0.124,1
0.23800000000000002,1.5190000000000001,0.643,0.27,0.16899999999999998,1
0.245,1.495,1.5430000000000001,0.718,-0.4,1
0.245,1.6769999999999998,1.511,0.508,0.0,1
0.324,1.719,0.6509999999999999,0.254,-0.13699999999999998,1
0.425,1.439,0.424,0.275,0.0,1
0.20600000000000002,1.121,1.296,0.498,-0.24600000000000002,1
0.33299999999999996,1.645,1.5330000000000001,0.638,0.0,1
0.304,1.6369999999999998,0.555,0.261,-0.107,1
0.311,1.493,0.423,0.304,-0.113,1
0.233,0.632,0.642,0.7240000000000001,0.0,1
0.273,1.982,1.041,0.5670000000000001,-0.41100000000000003,1
0.27399999999999997,2.028,0.992,0.406,0.0,1
-0.235,1.703,0.826,0.721,0.0,1
0.414,2.1069999999999998,1.2429999999999999,0.6859999999999999,0.0,1
0.175,1.247,1.442,0.48200000000000004,-0.184,1
0.184,1.364,1.415,0.6579999999999999,-0.626,1
0.322,1.754,0.628,0.26899999999999996,-0.096,1
0.762,1.413,0.5,0.195,-0.081,1
0.807,1.334,0.504,0.168,-0.081,1
0.221,0.609,0.635,0.71,0.0,1
